JW_ID,ECK number,B number,Gene name K-12,Locus name K-12,Synonyms of locus names K-12,Solubility(%),Yield(uM),Yield(ug/ml),Minus Sol,TF Sol,GroE Sol,KJE Sol,Minus(uM),TF(uM),GroE(uM),KJE(uM),Minus(ug/ml),TF(ug/ml),GroE(ug/ml),KJE(ug/ml),Calculated MW(kDa),Calculated pI,Type of gene product,Gene product description,Cell location,Structure (PDB) id,SCOP assignment
JW0004,ECK0005,b0005,yaaX,yaaX,,78.0,1.2,14.0,,,,,,,,,,,,,11.4,10.9,o,predicted protein,Periplasmic,,
JW0005,ECK0006,b0006,yaaA,yaaA,,7.0,2.4,71.0,14.01,26.65,52.96,17.69,1.199,1.014,1.162,1.86,35.43,29.98,34.34,54.96,29.555,8.74,o,conserved protein,Cytoplasmic,,
JW0008,ECK0009,b0009,mog,mog,bisD -!- chlG -!- mogA -!- yaaG,89.0,2.4,52.0,,,,,,,,,,,,,21.2,5.8,pf,predicted molybdochelatase,Cytoplasmic,1DI7,53218; Molybdenum cofactor biosynthesis proteins
JW5001,ECK0012,b0012,htgA,htgA,htpY -!- groPAB -!- groPC -!- groPF,46.0,0.8,13.0,,,,,,,,,,,,,17.6,8.6,o,predicted protein,Cytoplasmic,,
JW0012,ECK0013,b0013,yaaI,yaaI,,59.0,2.9,41.0,,,,,,,,,,,,,14.5,8.2,o,predicted protein,Periplasmic,,
JW0013,ECK0014,b0014,dnaK,dnaK,grpF -!- seg -!- lop -!- groPAB -!- groPC -!- groPF -!- grpC,116.0,0.6,41.0,,,,,,,,,,,,,69.0,4.8,f,"chaperone Hsp70, co-chaperone with DnaJ",Cytoplasmic,,53067; Actin-like ATPase domain
JW0014,ECK0015,b0015,dnaJ,dnaJ,groP -!- grpC,52.0,1.5,61.0,,,,,,,,,,,,,41.1,7.9,f,"chaperone Hsp40, co-chaperone with DnaK",Cytoplasmic,,
JW0022,ECK0024,b0023,rpsT,rpsT,sup(s20) -!- supS20,103.0,5.5,54.0,,,,,,,,,,,,,9.7,11.8,s,30S ribosomal subunit protein S20,Cytoplasmic,1P87,46992; Ribosomal protein S20
JW0025,ECK0028,b0027,lspA,lspA,dapB -!- ileS,6.0,3.0,54.0,,,,,,,,,,,,,18.1,9.1,e,prolipoprotein signal peptidase (signal peptidase II),Integral Membrane Protein,,
JW0026,ECK0029,b0028,fkpB,fkpB,slpA -!- yaaD,110.0,0.8,13.0,,,,,,,,,,,,,16.1,4.7,e,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),Cytoplasmic,,54534; FKBP-like
JW0027,ECK0030,b0029,ispH,ispH,lytB -!- yaaE,75.0,1.7,61.0,,,,,,,,,,,,,34.7,5.7,c,"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein",Cytoplasmic,,
JW0028,ECK0031,b0030,rihC,rihC,yaaF,57.0,2.0,66.0,,,,,,,,,,,,,32.5,6.1,e,ribonucleoside hydrolase 3,Cytoplasmic,,53590; Nucleoside hydrolase
