Solubility(%),Yield(uM),Yield(ug/ml),Calculated MW(kDa),Calculated pI,Sequence length,Sequence mass,Type of gene product numeric,Cell location numeric,Steric parameter,Polarizability,Volume,Hydrophobicity,Helix probability,Sheet probability
32.0,2.3,78.0,33.6,6.2,310,33624,0,0,2.089580645161287,0.1402903225806449,3.172129032258065,0.4352580645161291,0.2958064516129031,0.2955806451612905
18.0,1.7,78.0,47.056,5.71,428,47114,0,0,2.142336448598127,0.1443224299065416,3.2823364485981346,0.4096495327102804,0.2994626168224294,0.2939953271028038
78.0,1.2,14.0,11.4,10.9,98,11355,1,1,2.175204081632653,0.1596938775510204,3.623469387755106,0.3340816326530612,0.2791836734693876,0.2918367346938775
7.0,2.4,71.0,29.555,8.74,258,29586,1,0,2.180077519379843,0.1575193798449611,3.5554263565891477,0.3584496124031013,0.2988372093023256,0.2933720930232559
85.0,2.7,94.0,35.2,5.8,317,35219,0,0,2.1658675078864325,0.148643533123028,3.336119873817033,0.3456151419558361,0.3067507886435329,0.2950788643533123
89.0,2.4,52.0,21.2,5.8,195,21222,2,0,2.232051282051281,0.138051282051282,3.203846153846153,0.4164102564102562,0.292512820512821,0.3042564102564105
46.0,0.8,13.0,17.6,8.6,161,17637,1,0,2.0921118012422344,0.1416149068322981,3.1958385093167707,0.490745341614907,0.2673913043478264,0.3108695652173914
59.0,2.9,41.0,14.5,8.2,134,14482,1,1,2.1479850746268654,0.1402985074626865,3.121044776119402,0.3628358208955219,0.2866417910447764,0.2982835820895523
116.0,0.6,41.0,69.0,4.8,638,69115,3,0,2.108777429467075,0.1377272727272726,3.135329153605014,0.2364420062695926,0.2985579937304063,0.2889341692789969
52.0,1.5,61.0,41.1,7.9,376,41100,3,0,1.9630851063829755,0.1410638297872337,3.188882978723404,0.2242553191489363,0.284015957446808,0.2828723404255318
32.0,11.8,65.0,5.5,8.2,50,5502,4,1,2.4982000000000006,0.1532,3.307399999999999,0.5415999999999999,0.3134,0.3328000000000001
13.0,0.8,26.0,34.246,6.24,301,34284,5,0,2.209867109634549,0.1561794019933551,3.500930232558139,0.4428903654485053,0.298970099667774,0.302358803986711
103.0,5.5,54.0,9.7,11.8,87,9684,6,0,2.046436781609195,0.1551724137931035,3.371379310344827,0.0904597701149425,0.3264367816091956,0.2803448275862068
42.0,1.9,66.0,34.7,9.8,313,34734,0,0,2.1556869009584645,0.1504153354632584,3.3633226837060706,0.3887539936102238,0.3003514376996803,0.2938977635782749
6.0,3.0,54.0,18.1,9.1,164,18156,0,2,2.2556097560975594,0.157439024390244,3.394817073170731,0.6823170731707324,0.2933536585365857,0.3109756097560977
110.0,0.8,13.0,16.1,4.7,149,16081,0,0,2.1059731543624154,0.1344295302013423,3.1034228187919446,0.3839597315436238,0.2891946308724835,0.2898657718120807
75.0,1.7,61.0,34.7,5.7,316,34775,7,0,2.197056962025313,0.1440189873417718,3.256360759493671,0.3201265822784812,0.2976265822784809,0.3009810126582278
57.0,2.0,66.0,32.5,6.1,304,32561,0,0,2.187171052631575,0.1363815789473682,3.1187828947368423,0.5105263157894736,0.2934539473684209,0.301842105263158
94.0,2.0,58.0,28.7,6.1,273,28757,0,0,2.0165201465201448,0.1355677655677654,2.973992673992672,0.3326373626373627,0.298901098901099,0.2833699633699633
60.0,1.1,44.0,41.4,6.4,382,41431,0,0,2.151753926701567,0.1392408376963347,3.1708638743455504,0.3672774869109952,0.2872513089005229,0.2943979057591624
63.0,1.1,18.0,15.4,9.2,131,15436,5,0,2.334809160305342,0.1678625954198473,3.7409160305343496,0.3855725190839693,0.3062595419847331,0.3114503816793894
19.0,3.1,67.0,21.226,7.04,196,21244,8,0,2.167244897959182,0.1413265306122448,3.165102040816325,0.4134183673469389,0.2822448979591841,0.2998469387755103
